,Experiment,Level,algorithm,SSM
0,Exp_34_300,0,Natural,0.7268235489865211
1,Exp_34_300,1,Natural,0.0009703875487016
2,Exp_34_300,2,Natural,0.0135646147258212
0,Exp_33_300,0,Natural,0.8788640525056086
1,Exp_33_300,1,Natural,0.3532729271229384
2,Exp_33_300,2,Natural,0.0847636108778709
0,Exp_31_300,0,Natural,0.7870126929281859
1,Exp_31_300,1,Natural,0.0201754363835835
2,Exp_31_300,2,Natural,0.0007206391199614
0,Exp_32_300,0,Natural,0.776657410528642
1,Exp_32_300,1,Natural,0.0003334335745822
2,Exp_32_300,2,Natural,0.0235870355545989
0,Exp_20_300,0,Natural,0.6737189664521479
1,Exp_20_300,1,Natural,0.1982818689347304
2,Exp_20_300,2,Natural,0.127399658072585
0,Exp_6_300,0,Natural,0.8621212925424817
1,Exp_6_300,1,Natural,0.0003816174534488
2,Exp_6_300,2,Natural,3.289204830184734e-05
0,Exp_26_300,0,Natural,0.7625348211491817
1,Exp_26_300,1,Natural,0.321574786866162
2,Exp_26_300,2,Natural,0.2427259040157703
0,Exp_19_300,0,Natural,0.7902504949345588
1,Exp_19_300,1,Natural,6.684227540894004e-06
2,Exp_19_300,2,Natural,0.0645572750938046
0,Exp_24_300,0,Natural,0.8031339334650639
1,Exp_24_300,1,Natural,0.0010424228649548
2,Exp_24_300,2,Natural,0.0098063005813018
0,Exp_16_300,0,Natural,0.8329225427535317
1,Exp_16_300,1,Natural,0.3742107451785146
2,Exp_16_300,2,Natural,0.2280332911473641
0,Exp_29_300,0,Natural,0.7600904506435462
1,Exp_29_300,1,Natural,0.0
2,Exp_29_300,2,Natural,0.0001196776150387
0,Exp_12_300,0,Natural,0.8451006846973155
1,Exp_12_300,1,Natural,0.4633979298712973
2,Exp_12_300,2,Natural,0.3811282103503985
0,Exp_2_300,0,Natural,0.830591049570392
1,Exp_2_300,1,Natural,0.0007299194653099
2,Exp_2_300,2,Natural,0.0193283091855974
0,Exp_9_300,0,Natural,0.7356541139039636
1,Exp_9_300,1,Natural,1.7713709338685485e-07
2,Exp_9_300,2,Natural,0.0003213508742345
0,Exp_5_300,0,Natural,0.8264571848461348
1,Exp_5_300,1,Natural,0.0001346461911698
2,Exp_5_300,2,Natural,0.0021388318481003
0,Exp_10_300,0,Natural,0.8183154515317439
1,Exp_10_300,1,Natural,0.5668554574319666
2,Exp_10_300,2,Natural,0.1134312209848759
0,Exp_3_300,0,Natural,0.8009063371020193
1,Exp_3_300,1,Natural,0.3272269134257999
2,Exp_3_300,2,Natural,0.328479038762261
0,Exp_17_300,0,Natural,0.7519551993014436
1,Exp_17_300,1,Natural,0.2894959587091177
2,Exp_17_300,2,Natural,0.0592183564417917
0,Exp_18_300,0,Natural,0.7644009540863121
1,Exp_18_300,1,Natural,6.018092381469308e-05
2,Exp_18_300,2,Natural,0.0207981268576385
0,Exp_0_300,0,Natural,0.8322194447258696
1,Exp_0_300,1,Natural,0.7536174682428494
2,Exp_0_300,2,Natural,0.3439407657513791
0,Exp_7_300,0,Natural,0.8127640780368811
1,Exp_7_300,1,Natural,0.29005721123721
2,Exp_7_300,2,Natural,0.2816624900291274
0,Exp_28_300,0,Natural,0.7321515709586267
1,Exp_28_300,1,Natural,0.246470223393372
2,Exp_28_300,2,Natural,0.2719504488325434
0,Exp_27_300,0,Natural,0.8101636046791219
1,Exp_27_300,1,Natural,0.5143415666498584
2,Exp_27_300,2,Natural,0.3033435344719947
0,Exp_13_300,0,Natural,0.7411558946769146
1,Exp_13_300,1,Natural,0.7808287285053066
2,Exp_13_300,2,Natural,0.2226309801248816
0,Exp_1_300,0,Natural,0.8078251555070334
1,Exp_1_300,1,Natural,0.0064827474243214
2,Exp_1_300,2,Natural,0.2848853972364277
0,Exp_25_300,0,Natural,0.8583778456552603
1,Exp_25_300,1,Natural,3.0257575327006327e-05
2,Exp_25_300,2,Natural,0.0023809250507952
0,Exp_11_300,0,Natural,0.7841330501726524
1,Exp_11_300,1,Natural,0.2470737873820137
2,Exp_11_300,2,Natural,0.3295565697686325
0,Exp_4_300,0,Natural,0.8279790675576842
1,Exp_4_300,1,Natural,0.0
2,Exp_4_300,2,Natural,0.1143328045500297
0,Exp_15_300,0,Natural,0.7884950991734275
1,Exp_15_300,1,Natural,5.5485425692705414e-08
2,Exp_15_300,2,Natural,0.0002529779439709
0,Exp_21_300,0,Natural,0.7816835530634624
1,Exp_21_300,1,Natural,0.7764041751733574
2,Exp_21_300,2,Natural,0.2740348741880227
0,Exp_22_300,0,Natural,0.8360661428069895
1,Exp_22_300,1,Natural,0.0102759824226041
2,Exp_22_300,2,Natural,0.1090919077221612
0,Exp_8_300,0,Natural,0.8426096537772855
1,Exp_8_300,1,Natural,0.1647674612723463
2,Exp_8_300,2,Natural,0.1883432568276922
0,Exp_23_300,0,Natural,0.7863578956963616
1,Exp_23_300,1,Natural,0.0
2,Exp_23_300,2,Natural,0.0
0,Exp_30_300,0,Natural,0.7630353244938619
1,Exp_30_300,1,Natural,0.5840962097622235
2,Exp_30_300,2,Natural,0.2978640348184129
0,Exp_14_300,0,Natural,0.8212650397176412
1,Exp_14_300,1,Natural,8.284613098112406e-07
2,Exp_14_300,2,Natural,0.2897072034307486
0,Exp_34_400,0,Natural,0.8315294129104442
1,Exp_34_400,1,Natural,0.7618046818789489
2,Exp_34_400,2,Natural,0.2236234980885552
0,Exp_33_400,0,Natural,0.8356857519208554
1,Exp_33_400,1,Natural,0.0918083178705848
2,Exp_33_400,2,Natural,0.2730824173203426
0,Exp_31_400,0,Natural,0.8414106236577199
1,Exp_31_400,1,Natural,3.118175819643275e-05
2,Exp_31_400,2,Natural,0.0205385589032513
0,Exp_32_400,0,Natural,0.7963317910946325
1,Exp_32_400,1,Natural,0.4761554278716192
2,Exp_32_400,2,Natural,0.4421046443855139
0,Exp_20_400,0,Natural,0.8354873712141377
1,Exp_20_400,1,Natural,0.1835463617919699
2,Exp_20_400,2,Natural,0.1219617481277868
0,Exp_6_400,0,Natural,0.7952891648348527
1,Exp_6_400,1,Natural,0.4414929097690357
2,Exp_6_400,2,Natural,0.0943200155447775
0,Exp_26_400,0,Natural,0.8685296613171357
1,Exp_26_400,1,Natural,0.0
2,Exp_26_400,2,Natural,0.1735873701278137
0,Exp_19_400,0,Natural,0.7957919039674411
1,Exp_19_400,1,Natural,0.2169090456984476
2,Exp_19_400,2,Natural,0.1857679377403073
0,Exp_24_400,0,Natural,0.8141101909674862
1,Exp_24_400,1,Natural,0.4687164907108531
2,Exp_24_400,2,Natural,0.4433817734012616
0,Exp_16_400,0,Natural,0.7653356054159459
1,Exp_16_400,1,Natural,0.4011675178424438
2,Exp_16_400,2,Natural,0.3476842501274321
0,Exp_29_400,0,Natural,0.7999851490128387
1,Exp_29_400,1,Natural,0.2577658268816014
2,Exp_29_400,2,Natural,0.2190177606900412
0,Exp_12_400,0,Natural,0.8118435756036804
